,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
126,0,1,1,0,0,0,0,0,0,1,6.913042999999999,0.036125,0.818182,0.3,1.0
127,0,1,1,0,0,0,0,0,0,1,7.0,0.03325,0.228571,0.3,1.0
128,1,0,0,0,1,0,1,0,0,0,7.0,0.027542,1.608696,0.108696,1.0
129,1,0,1,0,0,0,0,0,0,1,7.0,0.040792,0.0,0.35,1.0
130,1,0,1,0,0,0,1,0,0,0,7.086957000000001,0.039667,0.136364,0.317391,1.0
131,0,1,1,0,0,0,0,0,1,0,7.086957000000001,0.029667000000000002,1.5857139999999998,0.383333,1.0
132,0,1,0,1,0,0,0,0,1,0,7.130435,0.028625,1.128571,0.208696,1.0
133,0,1,0,1,0,0,0,0,0,1,7.173913000000001,0.031875,1.545455,0.21739099999999997,1.0
134,1,0,0,1,0,0,0,0,0,1,7.173913000000001,0.032458,0.742857,0.1,1.0
135,1,0,1,0,0,0,0,0,0,1,7.3478259999999995,0.02625,0.0,0.304167,1.0
136,0,1,0,1,0,0,0,0,1,0,7.3478259999999995,0.015333000000000001,0.0,0.491304,1.0
137,0,1,0,0,1,0,0,0,0,1,7.391303999999999,0.032583,0.227273,0.326087,1.0
138,1,0,1,0,0,0,0,0,0,1,7.391303999999999,0.022917,3.181818,0.329167,1.0
139,1,0,1,0,0,0,0,0,0,1,7.391303999999999,0.022917,3.181818,0.329167,1.0
140,1,0,0,0,1,0,1,0,0,0,7.409091,0.020083,2.7166669999999997,0.395455,1.0
141,1,0,0,0,1,0,0,0,0,1,7.409091,0.020083,2.7166669999999997,0.395455,1.0
142,1,0,0,0,0,1,0,0,0,1,7.521739,0.022125,0.5,0.33913000000000004,1.0
143,0,1,0,1,0,0,0,0,0,1,7.6521740000000005,0.034917000000000004,0.028571,0.245833,1.0
144,0,1,0,0,1,0,0,0,0,1,7.695652000000001,0.030458,0.3,0.24166700000000002,1.0
145,0,1,1,0,0,0,0,0,0,1,7.695652000000001,0.0315,0.0,0.383333,1.0
146,1,0,0,1,0,0,0,0,0,1,7.73913,0.026833,2.071429,0.391667,1.0
147,0,1,0,1,0,0,0,0,0,1,7.73913,0.026833,2.071429,0.391667,1.0
148,1,0,0,0,1,0,0,0,0,1,7.73913,0.026167000000000003,1.590909,0.256522,1.0
149,0,1,0,0,1,0,0,0,0,1,7.73913,0.026167000000000003,1.590909,0.256522,1.0
150,0,1,0,1,0,0,1,0,0,0,7.782609,0.012916999999999998,0.5857140000000001,0.091304,1.0
151,0,1,0,0,1,0,0,0,1,0,7.913042999999999,0.044583,7.391303999999999,0.06087000000000001,1.0
152,0,1,0,0,0,1,1,0,0,0,7.913042999999999,0.02075,2.409091,0.42173900000000003,1.0
153,1,0,0,0,1,0,0,0,0,1,7.913042999999999,0.027083,0.363636,0.234783,1.0
154,0,1,0,0,1,0,0,0,0,1,7.913042999999999,0.032292,1.885714,0.558333,1.0
155,0,1,0,1,0,0,0,0,0,1,8.130435,0.033875,2.863636,0.295652,1.0
156,1,0,1,0,0,0,0,0,0,1,8.130435,0.026875,0.363636,0.4,1.0
157,0,1,0,0,1,0,1,0,0,0,8.173913,0.022875,0.909091,0.21739099999999997,1.0
158,1,0,0,0,1,0,0,0,0,1,8.217391000000001,0.012292,0.082609,0.8,1.0
159,0,1,0,1,0,0,0,0,0,1,8.272727,0.023875,5.2380949999999995,0.21818200000000001,1.0
160,1,0,0,0,0,1,0,0,0,1,8.347826,0.006875,0.772727,0.408696,1.0
161,0,1,0,0,1,0,0,0,0,1,8.391304,0.02925,2.454545,0.26087,1.0
162,1,0,0,0,1,0,0,0,0,1,8.391304,0.022125,0.347826,0.130435,1.0
